MRR Site Info Code,MRR Site Info Name,MRR Site Info RKM Mask,MRR Site Type Name,MRR Site Subbasin Code,MRR Site Subbasin Name,MRR Site Latitude Value,MRR Site Longitude Value,New metric
CLCKMS,Clackamas River,163.04,River,17090011,Clackamas,45.166636,'-122.135642,1
CLE,Cle Elum Dam,539.299.013,Dam,17030001,Upper Yakima,47.245467,'-121.073919,1
CLEA2C,"Clear Creek, Middle Fork John Day River Basin",351.298.052.106,River,17070203,Middle Fork John Day,44.515287,'-118.482267,1
CLEA3C,Clear Creek - tributary to Muddy River,140.087.007,River,17080002,Lewis,46.205766,'-121.961199,1
CLEARC,Clear Creek,522.224.120.004,River,17060304,Middle Fork Clearwater,46.041408,'-115.829577,1
CLEARP,Clear Creek Acclimation Pond,140.087.007.002,Acclimation Pond,17080002,Lewis,46.127066,'-121.990621,1
CLEBYP,CLE - Release into the Facility Bypass Flume/Pipe,539.299.013,Intra-Dam Release Site,17030001,Upper Yakima,47.245467,'-121.073919,1
CLEE,Cle Elum Hatchery,539.293,Hatchery,17030001,Upper Yakima,47.186756,'-120.976064,1
CLEFBY,CLE - Release into the Forebay within 0.5 km upstream of Dam,539.299.013,Intra-Dam Release Site,17030001,Upper Yakima,47.245467,'-121.073919,1
CLELMD,Cle Elum Dam (Archaic - replaced with CLE),539.299.013,Archaic,17030001,Upper Yakima,47.24546699,'-121.0739186,1
CLELMR,Cle Elum River,539.299,River,17030001,Upper Yakima,47.391822,'-121.097431,1
CLETAL,CLE - Release into the Tailrace within 0.5 km downstream of Dam,539.299.013,Intra-Dam Release Site,17030001,Upper Yakima,47.245467,'-121.073919,1
CLRBIS,Clear Lake Reservoir Bird Island,___,Avian Colony,18010204,Lost,41.87256,'-121.092562,1
CLRBR,"Clear Branch, Middle Fork Hood River Watershed",273.023.015,River,17070105,Middle Columbia-Hood,45.462605,'-121.647744,1
CLWH,Clearwater Hatchery,*,Hatchery,17060308,Lower North Fork Clearwater,46.504699,'-116.325927,1
CLWHNF,Clearwater Hatchery release into North Fork Clearwater River,522.224.065.000,Hatchery,17060308,Lower North Fork Clearwater,46.503377,'-116.328201,1
CLWR,Clearwater River,522.224,River,17060306,Clearwater,46.500791,'-116.389923,1
CLWRMF,Middle Fork Clearwater River,522.224.120,River,17060304,Middle Fork Clearwater,46.134943,'-115.794392,1
CLWRNF,North Fork Clearwater River,522.224.065,River Segment,17060308,Lower North Fork Clearwater,46.68542,'-115.998509,1
CLWRSF,South Fork Clearwater River,522.224.120,River,17060305,South Fork Clearwater,45.828146,'-115.954712,1
CLWTRP,Clearwater Trap,522.224.010,Trap or Weir,17060306,Clearwater,46.425001,'-116.922855,1
COLR,COLUMBIA RIVER (ARCHAIC - REPLACED WITH REACH-SPECIFIC DEFINITIONS),0,Archaic,N/A,,,,1
COLR1,"Columbia River - mouth to Three Tree Point, WA (km 0-49)",0,River Segment,17080006,Lower Columbia,46.203906,'-123.803456,1
COLR2,"Columbia River - Three Tree Point, WA to Lewis River (km 49-140)",0,River Segment,17080003,Lower Columbia-Clatskanie,46.166441,'-123.084498,1
COLR3,Columbia River - Lewis River to Bonneville Dam (km 140-234),0,River Segment,17080001,Lower Columbia-Sandy,45.58012,'-122.477189,1
COLR4,Columbia River - Bonneville Dam to John Day Dam (km 234-347),0,River Segment,17070105,Middle Columbia-Hood,45.683965,'-121.280668,1
COLR5,Columbia River - John Day Dam to Snake River (km 347-522),0,River Segment,17070101,Middle Columbia-Lake Wallula,45.865556,'-119.694048,1
COLR6,Columbia River - Snake River to Lower Crab Creek (km 522-661),0,River Segment,17020016,Upper Columbia-Priest Rapids,46.656867,'-119.422484,1
COLR7,"Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",0,River Segment,17020010,Upper Columbia-Entiat,47.367152,'-120.158839,1
COLR8,"Columbia River - Chelan Falls, WA to Grand Coulee Dam (km 809-960)",0,River Segment,17020005,Chief Joseph,48.040292,'-119.558501,1
COLR9,"Columbia River - Grand Coulee Dam to East Arrow Park, CAN (km 960-1359)",0,River Segment,17020001,Franklin D. Roosevelt Lake,,,1
COLTC,Colt Creek,522.224.120.037.113.020,River,17060303,Lochsa,46.418727,'-114.636938,1
COLTKC,Colt Kill Creek - Replaces WHITSC,522.224.120.037.113,River,17060303,Lochsa,46.44438,'-114.548105,1
COLVLE,"Colville River, tributary to Columbia River",1121,River,17020003,Colville,48.407752,'-117.855819,1
COONSC,"Coonskin Creek, Umatilla River",465.109,River,17070103,Umatilla,45.650583,'-118.518053,1
COPPEC,Coppei Creek - tributary to Touchet River,509.035.082,River,17070102,Walla Walla,46.238863,'-118.139577,1
CORRAC,"Corral Creek, Potlatch River watershed",522.224.024.052,River,17060306,Clearwater,46.826383,'-116.486420,1
COTN2C,"Cottonwood Creek, North Fork John Day River",351.298.025,River,17070202,North Fork John Day,44.67811,'-119.418259,1
COTNWC,Cottonwood Creek,522.224.031,River,17060306,Clearwater,46.404878,'-116.632417,1
COTP,Cottonwood Acclimation Pond,522.271.046,Acclimation Pond,17060106,Lower Grande Ronde,46.037654,'-117.296605,1
COTTWC,"Cottonwood Creek, Umatilla River",465.105,River,17070103,Umatilla,45.634082,'-118.582315,1
COUG2C,"Cougar Creek, Potlatch River watershed",522.224.024.083.005,River,17060306,Clearwater,46.919019,'-116.476022,1
COUGRC,"Cougar Creek, Grande Ronde Basin",522.271.049,River,17060106,Lower Grande Ronde,46.05946,'-117.337967,1
COULTC,"Coulter Creek, Wenatchee River Basin",754.089.014,River,17020011,Wenatchee,47.745194,'-120.797108,1
COULTP,"Coulter Creek Acclimation Pond, Wenatchee River Basin",754.089.014.001,Acclimation Pond,17020011,Wenatchee,47.76453,'-120.803000,1
COW2C,"Cow Creek, Lemhi River Basin",522.303.416.039.008,River,17060204,Lemhi,44.921513,'-113.538214,1
COWCR,"Cow Creek, Imnaha River Basin",522.308.006,River,17060102,Imnaha,45.66815,'-116.655163,1
COWEAP,Coweeman Acclimation Pond,111.002.021,Acclimation Pond,17080005,Lower Cowlitz,46.15578,'-122.781840,1
COWEER,"Coweeman River, tributary to Cowlitz River",111.002,River,17080005,Lower Cowlitz,46.169922,'-122.715355,1
COWICC,Cowiche Creek- Naches Subbasin,539.187.004,River,17030002,Naches,46.61919,'-120.631400,1
COWISF,South Fork Cowiche Creek - Tributary to Cowiche Creek,539.187.004.012,River,17030002,Naches,46.613966,'-120.892538,1
COWLR1,Cowlitz River - mouth to Cispus River (km 0-135),111,River Segment,17080005,Lower Cowlitz,46.479116,'-122.741116,1
COWLR2,Cowlitz River - Cispus River to Clear Fork (km 135-202),111,River Segment,17080004,Upper Cowlitz,46.52716,'-121.854266,1
COWS,Cowlitz Salmon Hatchery,111.08,Hatchery,17080005,Lower Cowlitz,46.511337,'-122.629388,1
COWT,Cowlitz Trout Hatchery,111.071,Hatchery,17080005,Lower Cowlitz,46.487512,'-122.722902,1
COYBL,Coyote Creek Boat Launch,925,Other,17020005,Chief Joseph,48.14084,'-119.072001,1
COYO2C,"Coyote Creek, tributary to Middle Fork John Day River",351.298.052.081,River,17070203,Middle Fork John Day,44.695239,'-118.748021,1
COYOTC,"Coyote Creek, Umatilla River",465.145.005,River,17070103,Umatilla,45.738387,'-118.135932,1
CRABP,Crab Creek Acclimation Pond,140.104,Acclimation Pond,17080002,Lewis,46.144188,'-121.895113,1
CRAZYC,Crazyman Creek - tributary to Imnaha River,522.308.080,River,17060102,Imnaha,45.188937,'-116.813087,1
CRESCB,Crescent Bar Road Bridge,711,Other,17020010,Upper Columbia-Entiat,47.215051,'-119.994530,1
CRESIS,"Crescent Island, Columbia River",510,Avian Colony,17070101,Middle Columbia-Lake Wallula,46.093252,'-118.931121,1
CROO2C,"Crooked Creek, Big Creek watershed, MF Salmon River",522.303.319.029.038,River,17060206,Lower Middle Fork Salmon,45.195989,'-115.081656,1
CROOC,Crooked Creek,522.303.200,River,17060201,Upper Salmon,44.215612,'-115.031876,1
CROOK1,Crooked River - Lake Billy Chinook to Prineville Reservoir (km 0-113),328.177,River Segment,17070305,Lower Crooked,44.343415,'-121.023906,1
CROOKC,Crooked Fork Creek,522.224.120.037.113,River,17060303,Lochsa,46.594971,'-114.650182,1
CROOKP,Crooked River Pond,522.224.120.094.015,Acclimation Pond,17060305,South Fork Clearwater,45.734249,'-115.523783,1
CROOKR,Crooked River,522.224.120.094,River,17060305,South Fork Clearwater,45.762658,'-115.541435,1
CROP,Crooked River Pond (Archaic - use CROOKP),522.224.120.094.015,Archaic,17060305,South Fork Clearwater,45.73424931,'-115.5237835,1
CROTRP,Crooked River Trap,522.224.120.094.001,Trap or Weir,17060305,South Fork Clearwater,45.821205,'-115.527745,1
CROW,Crooked River weir,522.224.120.094.001,Trap or Weir,17060305,South Fork Clearwater,45.820931,'-115.527782,1
CROWC,Crow Creek - Tributary to Little Naches River,539.187.072.005,River,17030002,Naches,47.02184,'-121.297214,1
CRTRAP,"Lake Washington, Cedar River Trap",***,Trap or Weir,17110012,Lake Washington,47.490594,'-122.212061,1
CRUIKS,"Cruikshank Creek, Lemhi River Basin",522.303.416.090.014,River,17060204,Lemhi,44.764686,'-113.198544,1
CTWD3C,"Cottonwood Creek, Grande Ronde River Basin",522.271.045,River,17060106,Lower Grande Ronde,46.077183,'-117.309840,1
CUBC,Cub Creek - Clackamas Subbasin,163.040.120,River,17090011,Clackamas,44.838779,'-121.887872,1
CUNNSL,Cunningham Slough,139,River,17090012,Lower Willamette,45.817294,'-122.811713,1
CURP,Curl Lake Rearing Pond,522.100.066,Acclimation Pond,17060107,Lower Snake-Tucannon,46.254281,'-117.672823,1
DAGGEC,Dagger Creek,522.303.319.155,River,17060205,Upper Middle Fork Salmon,44.482249,'-115.317736,1
DAVISC,Davis Creek - Middle Fork John Day River,351.298.052.104,River,17070203,Middle Fork John Day,44.575802,'-118.570301,1
DAYP,Dayton Acclimation Pond,509.035.087,Acclimation Pond,17070102,Walla Walla,46.313585,'-117.973430,1
DEAD2C,Deadman Creek - tributary to Snake River,522.131,River,17060107,Lower Snake-Tucannon,46.62571,'-117.684317,1
DEAD3C,Deadman Creek - Upper Columbia Basin,1131.005,River,17020002,Kettle,48.669747,'-118.271329,1
DEADMC,Deadman Creek,522.224.120.037.016,River,17060303,Lochsa,46.269038,'-115.528207,1
DEADNF,North Fork Deadman Creek - Upper Columbia Basin,1031.005.011,River,17020002,Kettle,48.699134,'-118.330317,1
DECKEC,Decker Creek,522.303.624.001,River,17060201,Upper Salmon,44.058359,'-114.917832,1
DEEPCK,"Deep Creek, tributary to Columbia River",1181,River,17020001,Franklin D. Roosevelt Lake,48.875329,'-117.709233,1
DEEPR,"Deep River, tributary to Columbia River",35,River,17080006,Lower Columbia,46.318188,'-123.706775,1
DEERC,"Deer Creek, upper Lemhi River Basin",522.303.416.092.022,River,17060204,Lemhi,44.487859,'-113.322828,1
DESCH1,Deschutes River - mouth to Round Butte Dam (0-177 km),328,River Segment,17070306,Lower Deschutes,45.138984,'-121.122154,1
DESCH2,Deschutes River - Round Butte Dam to headwaters (177-393 km),328,River Segment,17070301,Upper Deschutes,43.930551,'-121.438957,1
DESOC,"Desolation Creek, tributary to North Fork John Day River",351.298.097,River,17070202,North Fork John Day,44.91325,'-118.819378,1
DET,"Detroit Dam (USACE), North Santiam River",163.174.019.078,Dam,17090005,North Santiam,44.72195,'-122.250102,1
DETFBY,DET - Release into the Forebay within 0.5 km upstream of Dam,163.174.019.078,Intra-Dam Release Site,17090005,North Santiam,44.72195,'-122.250102,1
DETTAL,DET - Release into the Tailrace within 0.5km downstream of Dam,163.174.019.078,Intra-Dam Release Site,17090005,North Santiam,44.72195,'-122.250102,1
DEX,"Dexter Dam (USACE), Middle Fork Willamette River",163.301.027,Dam,17090001,Middle Fork Willamette,43.92364,'-122.805743,1
DEXTAL,DEX - Release into the Tailrace within 0.5km downstream of Dam,163.301.027,Intra-Dam Release Site,17090001,Middle Fork Willamette,43.92364,'-122.805743,1
DHORNC,"Deerhorn Creek, tributary to Middle Fork John Day River",351.298.052.098,River,17070203,Middle Fork John Day,44.599006,'-118.588686,1
DILACC,"Dillacort Creek, Klickitat River",290.009,River,17070106,Klickitat,45.728417,'-121.168099,1
DOGRVR,"Dog River, tributary to EF Hood River (OR)",273.023.016,River,17070105,Middle Columbia-Hood,45.412448,'-121.528119,1
DRANOL,Drano Lake,261,Other,17070105,Middle Columbia-Hood,45.712725,'-121.635353,1
DRIFTC,Drift Creek - tributary to Lewis River,140.079,River,17080002,Lewis,,,1
DRNP,"Deep River Net Pens (Deep River, Washington)",35.002,Acclimation Pond,17080006,Lower Columbia,46.34107,'-123.694768,1
DRY,"Dryden Diversion Dam, Wenatchee River",754.028,Dam,17020011,Wenatchee,47.555383,'-120.573520,1
DRY2C,Dry Creek - tributary to Imnaha River,522.308.090,River,17060102,Imnaha,45.12179,'-116.867075,1
DRY3C,"Dry Creek, tributary to Satus Creek",539.112.031,River,17030003,Lower Yakima,46.178349,'-120.627218,1
DRYC,"Dry Creek, tributary to Fifteenmile Creek",309.038,River,17070105,Middle Columbia-Hood,45.412827,'-121.103483,1
DRYFBY,DRY - Release into the Forebay within 0.5 km upstream of Dam,754.028,Intra-Dam Release Site,17020011,Wenatchee,47.555383,'-120.573520,1
DRYFCC,"Dry Fork Clear Creek, Middle Fork John Day River Basin",351.298.052.106.003,River,17070203,Middle Fork John Day,44.522011,'-118.433160,1
DRYP,Dryden Acclimation Pond,754.026,Acclimation Pond,17020011,Wenatchee,47.544659,'-120.563573,1
DRYTAL,DRY - Release into the Tailrace within 0.5 km downstream of Dam,754.028,Intra-Dam Release Site,17020011,Wenatchee,47.555383,'-120.573520,1
DUNCAN,"Duncan Creek, South Fork John Day River Basin",351.341.027.010,River,17070201,Upper John Day,44.299899,'-119.384916,1
DWOR,Dworshak National Fish Hatchery,*,Hatchery,17060306,Clearwater,46.502001,'-116.323500,1
DWORMS,"Dworshak NFH, release into mainstem Clearwater River",522.224.065,Hatchery,17060306,Clearwater,46.501157,'-116.323015,1
DWORNF,"Dworshak NFH, release into North Fork Clearwater River",522.224.065.000,Hatchery,17060308,Lower North Fork Clearwater,46.503061,'-116.322566,1
EAG2NF,"North Fork Eagle Creek, Clackamas River Basin",163.040.026.010,River,17090011,Clackamas,45.329535,'-122.186953,1
EAGH,"Eagle Creek National Fish Hatchery, Clackamas River Basin",163.040.026.016,Hatchery,17090011,Clackamas,45.276037,'-122.202507,1
EAGL,Eagle Hatchery,*,Hatchery,17050114,Lower Boise,43.678224,'-116.402259,1
EAGL2C,"Eagle Creek, Clackamas River Basin",163.040.026,River,17090011,Clackamas,45.276131,'-122.204862,1
EAGLEC,Eagle Creek,522.224.120.037.253.003,River,17060301,Upper Selway,45.83844,'-114.892862,1
EARLWC,"Early Winters Creek, Methow River Basin",843.113,River,17020008,Methow,48.596688,'-120.597166,1
EARLWP,Early Winters Acclimation Pond,843.113.001,Acclimation Pond,17020008,Methow,48.597458,'-120.442708,1
EASTOP,Easton Acclimation Pond,539.325,Acclimation Pond,17030001,Upper Yakima,47.236201,'-121.168441,1
EBNK,East Bank Hatchery,*,Hatchery,17020010,Upper Columbia-Entiat,47.533692,'-120.289238,1
EDEERC,"East Deer Creek, tributary to Kettle River",1131.029,River,17020002,Kettle,48.876992,'-118.293059,1
EFHORC,"East Fork Horse Creek, McKenzie River Basin",163.282.101,Archaic,17090004,Mckenzie,44.172995,'-122.176398,1
EFPTRP,East Fork Potlatch River Rotary Screw Trap,522.224.024.065.001,Trap or Weir,17060306,Clearwater,46.798662,'-116.420458,1
EFPW,East Fork Potlatch River weir,522.224.024.065.001,Trap or Weir,17060306,Clearwater,46.798477,'-116.419333,1
EIGH2C,"Eightmile Creek, Fifteenmile Creek Watershed",309.004,River,17070105,Middle Columbia-Hood,45.461331,'-121.239095,1
EIGHTC,"Eightmile Creek, Chewuch River",843.080.018,River,17020008,Methow,48.694557,'-120.263975,1
EIGHTP,Eightmile Acclimation Pond,843.080.017,Acclimation Pond,17020008,Methow,48.591924,'-120.165634,1
ELDORC,Eldorado Creek,522.224.087.041,River,17060306,Clearwater,46.286034,'-115.661044,1
ELK2C,"Elk Creek, SF Salmon River",522.303.215.034,River,17060208,South Fork Salmon,45.149265,'-115.506640,1
ELK3C,"Elk Creek, trib. to Valley Creek, Salmon River",522.303.609.017,River,17060201,Upper Salmon,44.260872,'-115.108313,1
ELKC,Elk Creek,522.303.319.170.014,River,17060205,Upper Middle Fork Salmon,44.415672,'-115.468764,1
ELRH,"Elochoman River Hatchery (Elochoman River, Washington)",58.019,Hatchery,17080003,Lower Columbia-Clatskanie,46.260554,'-123.298663,1
ENTH,Entiat NFH,778.011,Hatchery,17020010,Upper Columbia-Entiat,47.697934,'-120.322888,1
ENTIAR,Entiat River,778,River,17020010,Upper Columbia-Entiat,47.91097,'-120.490331,1
ENTRTP,Entiat River Rotary Screw Trap,778.002,Trap or Weir,17020010,Upper Columbia-Entiat,47.663813,'-120.243455,1
ESANIS,"East Sand Island, Columbia River",8,Avian Colony,17080006,Lower Columbia,46.262709,'-123.972575,1
ETIENC,"Etienne (formerly Negro) Creek, tributary to Peshastin Creek",754.029.017,River,17020011,Wenatchee,47.420795,'-120.728530,1
FAL,"Fall Creek Dam (USACE), MF Willamette River",163.301.013,Dam,17090001,Middle Fork Willamette,43.945848,'-122.756826,1
FALL2C,"Fall Creek, MF Willamette River Basin",163.301.017,River,17090001,Middle Fork Willamette,43.965546,'-122.606345,1
FALLC,Fall Creek,522.303.319.163,River,17060205,Upper Middle Fork Salmon,44.493281,'-115.177351,1
FALTAL,FAL - Release into the Tailrace within 0.5 km downstream of Dam,163.301.013,Intra-Dam Release Site,17090001,Middle Fork Willamette,43.945848,'-122.756826,1
FDD,"Feed Diversion Dam, Umatilla River",465.045,Dam,17070103,Umatilla,45.720309,'-119.177056,1
FDDFBY,FDD - Release into the Forebay within 0.5 km upstream of Dam,465.045,Intra-Dam Release Site,17070103,Umatilla,45.720309,'-119.177056,1
FDDTAL,FDD - Release into the Tailrace within 0.5 km downstream of Dam,465.045,Intra-Dam Release Site,17070103,Umatilla,45.720309,'-119.177056,1
FEATHC,"Feather Creek, Potlatch River watershed",522.224.024.083.001,River,17060306,Clearwater,46.946684,'-116.421015,1
FEEDCN,Feed Diversion Canal - headgate to diversion screen (km 000-001),465.047,River,17070103,Umatilla,45.721556,'-119.177221,1
FIRSTC,First Creek - Tributary to Swauk Creek,539.274.013,River,17030001,Upper Yakima,47.2081,'-120.627026,1
FISHC,Fish Creek,522.224.120.037.039,River,17060303,Lochsa,46.328711,'-115.484150,1
FISHEC,Fisher Creek,522.303.628,River,17060201,Upper Salmon,44.061643,'-114.758108,1
FISTRP,Fish Creek Trap,522.224.120.037.039.002,Trap or Weir,17060303,Lochsa,46.340115,'-115.355127,1
FITSUC,"Fitsum Creek, SF Salmon River Basin",522.303.215.062,River,17060208,South Fork Salmon,44.988554,'-115.806674,1
FIVE2C,"Fivemile Creek, Fifteen Mile Creek Watershed",309.004.002,River,17070105,Middle Columbia-Hood,45.517148,'-121.201770,1
FIVEMC,Five Mile Creek,522.224.120.094.018,River,17060305,South Fork Clearwater,45.720315,'-115.572653,1
FLATC,"Flat Creek, Secesh River Basin",522.303.215.059.039.001,River,17060208,South Fork Salmon,45.282315,'-115.858140,1
FLOSSC,Flossie Creek,522.303.282.027,River,17060207,Middle Salmon-Chamberlain,45.383751,'-115.248929,1
FLUMEC,"Flume Creek, Lemhi River Basin",522.303.416.039.014,River,17060204,Lemhi,45.01085,'-113.494568,1
FOGDEW,"Foggy Dew Creek, Methow River watershed",843.035.009,River,17020008,Methow,48.171338,'-120.275364,1
FOS,"Foster Dam, South Santiam River",163.174.019.060,Dam,17090006,South Santiam,44.415186,'-122.670254,1
FOSFBY,FOS - Release into the Forebay within 0.5 km upstream of Dam,163.174.019.060,Intra-Dam Release Site,17090006,South Santiam,44.415186,'-122.670254,1
FOSTAL,FOS - Release into the Tailrace within 0.5 km downstream of Dam,163.174.019.060,Intra-Dam Release Site,17090006,South Santiam,44.415186,'-122.670254,1
FOSTC,Foster Creek - tributary to Columbia River,868,River,17020005,Chief Joseph,47.985515,'-119.647052,1
FOUNDI,"Foundation Island, Columbia River",518,Avian Colony,17070101,Middle Columbia-Lake Wallula,46.167554,'-118.999119,1
FOXC,"Fox Creek, North Fork John Day River",351.298.025.036,River,17070202,North Fork John Day,44.64373,'-119.175505,1
FREEZC,Freezeout Creek - tributary to Imnaha River,522.308.059,River,17060102,Imnaha,45.350411,'-116.762169,1
FRENCC,Frenchman Creek,522.303.647,River,17060201,Upper Salmon,43.840726,'-114.791206,1
FRENCH,French Creek,522.303.169,River,17060209,Lower Salmon,45.283175,'-116.044068,1
GABLEC,"Gable Creek, John Day River Basin",351.218.022,River,17070204,Lower John Day,44.534696,'-120.235460,1
GATEC,"Gate Creek, Tributary to Chiwawa River",754.077.020,River,17020011,Wenatchee,47.915783,'-120.691902,1
GCD,Grand Coulee Dam,951,Dam,17020005,Chief Joseph,47.956527,'-118.979362,1
GCDFBY,GCD - Release into the Forebay within 0.5 km upstream of Dam,951,Intra-Dam Release Site,17020005,Chief Joseph,47.956527,'-118.979362,1
GEDCWF,West Fork Gedney Creek,522.224.120.037.029.005,River,17060302,Lower Selway,46.15044,'-115.307590,1
GEDNEC,Gedney Creek,522.224.120.037.029,River,17060302,Lower Selway,46.101673,'-115.276911,1
GEECR,"Gee Creek, Washington, lower Columbia River",140,River,17080003,Lower Columbia-Clatskanie,45.813322,'-122.730155,1
GEORGC,"George Creek, Asotin Creek watershed",522.234.005,River,17060103,Lower Snake-Asotin,46.192301,'-117.198841,1
GERMC,"Germany Creek, Lower Columbia River, Washington",90,River,17080003,Lower Columbia-Clatskanie,46.270094,'-123.125897,1
GOATC,"Goat Creek, SF Salmon River",522.303.215.099,River,17060208,South Fork Salmon,44.768933,'-115.651053,1
GOATWP,Goat Wall Acclimation Pond,843.116,Acclimation Pond,17020008,Methow,48.63278,'-120.469342,1
GOLD2C,"Gold Creek, Methow River",843.035,River,17020008,Methow,48.190329,'-120.155537,1
GOLD3C,Gold Creek - tributary to West Fork Sanpoil River,981.076.005,River,17020004,Sanpoil,48.383065,'-118.893710,1
GOLD4C,"Gold Creek, tributary to Colville River",1121.019,River,17020003,Colville,48.543433,'-118.003611,1
GOLD5C,"Gold Creek, Upper Yakima Basin",539.356,River,17030001,Upper Yakima,47.4310183,'-121.3517170,1
GOLDC,Gold Creek,522.303.621,River,17060201,Upper Salmon,44.13012,'-114.828971,1
GOOS2I,"Goose Island, Columbia River above Priest Rapids Dam",641,Avian Colony,17020016,Upper Columbia-Priest Rapids,46.660995,'-119.916682,1
GOOSEI,"Goose Island, lower Snake River",522.014,Avian Colony,17060110,Lower Snake,46.243637,'-118.908262,1
GRAND1,Grande Ronde River - mouth to Wallowa River (km 0-131),522.271,River Segment,17060106,Lower Grande Ronde,45.980346,'-117.389605,1
GRAND2,Grande Ronde River - Wallowa River to headwaters (km 131-325),522.271,River Segment,17060104,Upper Grande Ronde,45.325636,'-117.920526,1
GRANDP,Grande Ronde River Pond,522.271.320,Acclimation Pond,17060104,Upper Grande Ronde,45.079276,'-118.331479,1
GRANDR,GRANDE RONDE RIVER (ARCHAIC - REPLACED WITH REACH-SPECIFIC DEFINITIONS),522.271,Archaic,N/A,,,,1
GRANDW,Grande Ronde River Weir,522.271.307,Trap or Weir,17060104,Upper Grande Ronde,45.248961,'-118.388983,1
GRAYH,"Grays Harbor, WA",~~~,Other,17100105,Grays Harbor,46.956046,'-124.041653,1
GRAYSR,"Grays River, Washington, lower Columbia River",32,River,17080006,Lower Columbia,46.365199,'-123.562072,1
GRBLDC,"Granite Boulder Creek, Middle Fork John Day River",351.298.052.090,River,17070203,Middle Fork John Day,44.680895,'-118.611550,1
GREENR,"Green River, trib. to NF Toutle River",111.032.028.018,River,17080005,Lower Cowlitz,46.379687,'-122.304047,1
GREEPC,Green Point Creek (tributary to West Fork Hood River),273.020.002,River,17070105,Middle Columbia-Hood,45.598623,'-121.719989,1
GRNTRP,Grande Ronde River Trap,522.271.002,Trap or Weir,17060106,Lower Grande Ronde,46.070008,'-116.984812,1
GROS2C,"Grouse Creek, tributary to Imnaha River",522.308.066,River,17060102,Imnaha,45.2539799,'-116.9100604,1
GROUSC,"Grouse Creek, Secesh River Basin",522.303.215.059.039,River,17060208,South Fork Salmon,45.290158,'-115.828507,1
GUMBTC,"Gumboot Creek, Imnaha River Basin",522.308.086,River,17060102,Imnaha,45.155719,'-116.941111,1
HADENC,Haden Creek - tributary to Lost Creek,981.076.022.019,River,17020004,Sanpoil,48.445417,'-119.130446,1
HADESF,South Fork Haden Creek,981.076.022.019.003,River,17020004,Sanpoil,48.419568,'-119.126375,1
HAGE,Hagerman NFH,*,Hatchery,17040212,Upper Snake-Rock,42.76651,'-114.875602,1
HALLC,Hall Creek - tributary to Columbia River,1086,River,17020001,Franklin D. Roosevelt Lake,48.38872,'-118.329638,1
HANGC,Hangman Creek - tributary to Spokane River,1020.121,River,17010306,Hangman,,,1
HANSPC,"Hancock Springs Creek, tributary to Methow River",843.097,River,17020008,Methow,48.53792,'-120.338233,1
HANTWN,Hanford town site boat ramp,576,Other,17020016,Upper Columbia-Priest Rapids,46.583667,'-119.373667,1
HANWTB,Hanford White Bluffs boat ramp,587,Other,17020016,Upper Columbia-Priest Rapids,46.673217,'-119.459367,1
HARDC,Hard Creek,522.303.140.031.002,River,17060210,Little Salmon,45.127852,'-116.221080,1
HATRCK,Hat Rock State Park (Oregon),480,Other,17070101,Middle Columbia-Lake Wallula,45.9177,'-119.174000,1
HAWLYC,"Hawley Creek, Lemhi River Basin",522.303.416.092.004,River,17060204,Lemhi,44.659919,'-113.244551,1
HAYDEF,"East Fork Hayden Creek, Lemhi River Basin",522.303.416.049.015,River,17060204,Lemhi,44.715451,'-113.660422,1
HAYDNC,"Hayden Creek, Lemhi River Basin",522.303.416.049,River,17060204,Lemhi,44.752766,'-113.712983,1
HAYNSC,"Haynes Creek, Lemhi River Basin",522.303.416.026,River,17060204,Lemhi,44.998036,'-113.726316,1
HAZARC,Hazard Creek,522.303.140.031,River,17060210,Little Salmon,45.226944,'-116.184493,1
HCD,Hells Canyon Dam,522.397,Dam,17060101,Hells Canyon,45.242616,'-116.701043,1
HCDTAL,HCD - Release into the Tailrace within 0.5 km downstream of Dam,522.397,Intra-Dam Release Site,17060101,Hells Canyon,45.242616,'-116.701043,1
HCR,"Hills Creek Dam, Middle Fork Willamette River",163.301.073,Dam,17090001,Middle Fork Willamette,43.708602,'-122.423643,1
HCRFBY,HCR - Release into the Forebay within 0.5 km upstream of Dam,163.301.073,Intra-Dam Release Site,17090001,Middle Fork Willamette,43.708602,'-122.423643,1
HCRREG,HCR - Release into the Regulating Channel of the Tailrace within 0.5 km of Dam,163.301.073,Intra-Dam Release Site,17090001,Middle Fork Willamette,43.708602,'-122.423643,1
HCRTUR,HCR - Release into the Turbine Channel of the Tailrace within 0.5 km of Dam,163.301.073,Intra-Dam Release Site,17090001,Middle Fork Willamette,43.708602,'-122.423643,1
HELLRC,Hell Roaring Creek,522.303.631,River,17060201,Upper Salmon,44.02764,'-114.902734,1
HERDC,Herd Creek,522.303.552.014,River,17060201,Upper Salmon,44.109413,'-114.257135,1
HERMAC,"Herman Creek, Columbia River Gorge (OR)",243,River,17070105,Middle Columbia-Hood,45.653684,'-121.819604,1
HINDOC,Hindoo Creek - Tributary to Rattlesnake Creek,539.187.045.021,River,17030002,Naches,46.778759,'-121.221444,1
HLK,"Hemlock Dam, Wind River (WA) watershed",251.017.002,Dam,17070105,Middle Columbia-Hood,45.802008,'-121.932265,1
